,name,artist,album,track_number,Artist,storeId
568,Make It Happen,['Machine Gun Kelly'],General Admission,14.0,['Machine Gun Kelly'],Trqemjmtwgc5et7rh2i2jdv5mu4
569,Round Here,['Machine Gun Kelly'],General Admission,15.0,['Machine Gun Kelly'],T7zzqye6ayzlhz3zo2yjzmbymo4
570,Gone,"['Machine Gun Kelly', ' Leroy Sanchez']",General Admission,9.0,"['Machine Gun Kelly', ' Leroy Sanchez']",Tyiy6fommjtw5rj6273ux4jeisa
571,Gangsta's Paradise (feat. L.V.),"['Coolio', ' L.V.']",Gangsta's Paradise (US Release),3.0,"['Coolio', ' L.V.']",
572,Mrs. Jones,['Coolio'],Gangsta's Paradise (US Release),13.0,['Coolio'],
573,Renegades,['X Ambassadors'],VHS,2.0,['X Ambassadors'],Ts2mxkmmnz25v5ihl7zgpv3fkt4
574,Spotlight,"['Machine Gun Kelly', ' Lzzy Hale']",General Admission,1.0,"['Machine Gun Kelly', ' Lzzy Hale']",Tkyf3hx2xgpm7khzptvzvomiupe
575,Leaving the Past,['Immortal Technique'],Revolutionary Vol. 2,15.0,['Immortal Technique'],T7iuzmhu4vdqv7wlkvi72b6hcwa
576,Eye of the Tiger,['Great White'],'80s Metal Essentials,1.0,['Great White'],Tbfmjwbyq5fjzxbwphwvntntydq
577,Cherry Pie - Re-Recorded,['Warrant'],'80s Metal Essentials,2.0,['Warrant'],Tyqyhrcutw6aaeyy4lrticewx6a
578,Smooth up in Ya - Re-Recorded,['Bulletboys'],'80s Metal Essentials,3.0,['Bulletboys'],Thz2bhcsukmom47twecomosvc2y
579,Every Rose Has Its Thorn,['Bret Michaels'],'80s Metal Essentials,4.0,['Bret Michaels'],Tcv3gfd76qgsymsfnjdx747xmr4
580,Once Bitten Twice Shy - Re-Recorded,['Great White'],'80s Metal Essentials,5.0,['Great White'],Tz4igsqu2bmc3tua3r757hcjymm
581,When the Good Die Young,['Dokken'],'80s Metal Essentials,6.0,['Dokken'],To6ozv2yqz4js5duzblty6roheq
582,Overkill - Re-Recorded,['Motörhead'],'80s Metal Essentials,7.0,['Motörhead'],Ti5tkbeznndm6xkfc6odfgy7viu
583,New Thing,['Enuff ZNuff'],'80s Metal Essentials,8.0,['Enuff ZNuff'],To5gjgx6w26upfv4girav3ffmsq
